,names,starttime,endtime
117,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18365..DPE.453018365.2023.09.30.00.00.00.000.E.miniseed,1696032000.0,1696118400.0
118,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17877..DPN.453017877.2023.10.14.00.00.00.000.N.miniseed,1697241600.0,1697328000.0
119,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09501..DPE.453009501.2023.10.05.00.00.00.000.E.miniseed,1696464000.0,1696550400.0
120,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10901..DPZ.453010901.2023.10.10.00.00.00.000.Z.miniseed,1696896000.0,1696982399.0
121,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10358..DPN.453010358.2023.10.05.00.00.00.000.N.miniseed,1696464000.0,1696550400.0
122,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10737..DPN.453010737.2023.10.11.00.00.00.000.N.miniseed,1696982400.0,1697068800.0
123,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10188..DPN.453010188.2023.10.01.00.00.00.000.N.miniseed,1696118400.0,1696204800.0
124,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10776..DPN.453010776.2023.10.20.00.00.00.000.N.miniseed,1697760000.0,1697846400.0
125,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10524..DPE.453010524.2023.10.18.00.00.00.000.E.miniseed,1697587200.0,1697673600.0
126,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10495..DPZ.453010495.2023.10.12.00.00.00.000.Z.miniseed,1697068800.0,1697155200.0
127,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.20247..DPE.453020247.2023.10.23.00.00.00.000.E.miniseed,1698019200.0,1698105600.0
128,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09515..DPE.453009515.2023.10.20.00.00.00.000.E.miniseed,1697760000.0,1697846400.0
129,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09508..DPZ.453009508.2023.10.13.00.00.00.000.Z.miniseed,1697155200.0,1697241600.0
130,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09548..DPE.453009548.2023.10.13.00.00.00.000.E.miniseed,1697155200.0,1697241600.0
131,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10278..DPN.453010278.2023.10.20.00.00.00.000.N.miniseed,1697760000.0,1697846400.0
132,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10358..DPN.453010358.2023.10.21.00.00.00.000.N.miniseed,1697846400.0,1697932800.0
133,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09304..DPN.453009304.2023.10.23.00.00.00.000.N.miniseed,1698019200.0,1698105600.0
